,Accuracy,Precision,Recall,Specificity,F1-Score,AUC-ROC
Logistic Regression,0.7655,0.55,0.6471,0.8083,0.5946,0.8169
Random Forest,0.7768,0.5721,0.6364,0.8277,0.6025,0.8208
